step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.0005736934836022556,0.3029332756996155,0.00786017905920744,0.00786017905920744,,,,
2,,,,,0.00026501508546061814,0.11465241014957428,0.0029988177120685577,0.0029988177120685577,,,,
3,,,,,0.00019941467326134443,0.09364038705825806,0.002440716838464141,0.002440716838464141,,,,
4,,,,,0.00019121012883260846,0.08811921626329422,0.002298585372045636,0.002298585372045636,,,,
5,,,,,0.0001651518396101892,0.08148930221796036,0.0021198082249611616,0.0021198082249611616,,,,
6,,,,,0.00016333151143044233,0.07780786603689194,0.002026862697675824,0.002026862697675824,,,,
7,,,,,0.00015554690617136657,0.07512272894382477,0.0019558416679501534,0.0019558416679501534,,,,
8,,,,,0.00015078578144311905,0.07007960230112076,0.001827383297495544,0.001827383297495544,,,,
9,,,,,0.00014999645645730197,0.07634875923395157,0.0019837168511003256,0.0019837168511003256,,,,
10,0.00014332977298181504,0.08174093812704086,0.0021151883993297815,0.0021151883993297815,0.00014914794883225113,0.07519763708114624,0.0019545149989426136,0.0019545149989426136,93.41592016344491,95.0,17.625653076171876,17.7225871535967
11,,,,,0.0001457037142245099,0.06414471566677094,0.001676469692029059,0.001676469692029059,,,,
12,,,,,0.0001265812461497262,0.060575082898139954,0.0015776680083945394,0.0015776680083945394,,,,
13,,,,,0.0001243004371644929,0.06401986628770828,0.0016626474680379033,0.0016626474680379033,,,,
14,,,,,0.0001399547327309847,0.06175573915243149,0.0016138707287609577,0.0016138707287609577,,,,
15,,,,,0.00013959746866021305,0.060946978628635406,0.001593473250977695,0.001593473250977695,,,,
16,,,,,0.00011067867308156565,0.056890055537223816,0.0014775908784940839,0.0014775908784940839,,,,
17,,,,,0.00011001113307429478,0.05718418210744858,0.001484610023908317,0.001484610023908317,,,,
18,,,,,0.00012407793838065118,0.05883322283625603,0.0015328696463257074,0.0015328696463257074,,,,
19,,,,,0.00011347798863425851,0.05208604782819748,0.0013588903238996863,0.0013588903238996863,,,,
20,0.00013003269850742072,0.08638116717338562,0.002224545693024993,0.002224545693024993,0.00012388361210469157,0.05970463529229164,0.0015545575879514217,0.0015545575879514217,97.91157253377159,98.5,3.4579742431640623,3.4579742431640623
21,,,,,0.0001242201979039237,0.05482586473226547,0.0014327564276754856,0.0014327564276754856,,,,
22,,,,,0.00010958388156723231,0.05193161964416504,0.0013530823634937406,0.0013530823634937406,,,,
23,,,,,0.00011051082401536405,0.05111163854598999,0.0013330463552847505,0.0013330463552847505,,,,
24,,,,,0.00012832280481234193,0.05781340226531029,0.0015094962436705828,0.0015094962436705828,,,,
25,,,,,0.00011687361256917939,0.051820289343595505,0.0013539441861212254,0.0013539441861212254,,,,
26,,,,,0.0001080231522792019,0.04966380074620247,0.001295606722123921,0.001295606722123921,,,,
27,,,,,0.00010607583681121469,0.053537752479314804,0.0013914821902289987,0.0013914821902289987,,,,
28,,,,,0.00011100665869889781,0.051069315522909164,0.001332236104644835,0.001332236104644835,,,,
29,,,,,9.339061216451228e-05,0.04662773013114929,0.0012123883934691548,0.0012123883934691548,,,,
30,6.648786802543327e-05,0.06742515414953232,0.0017188728088513017,0.0017188728088513017,9.59539829636924e-05,0.047076620161533356,0.0012248927960172296,0.0012248927960172296,98.54785478547855,99.0,3.0449392318725588,3.0449392318725588
31,,,,,0.00010613539052428678,0.04853381589055061,0.0012664130190387368,0.0012664130190387368,,,,
32,,,,,0.00010068153642350808,0.051627423614263535,0.0013410263927653432,0.0013410263927653432,,,,
33,,,,,9.274513286072761e-05,0.046541836112737656,0.001209918293170631,0.001209918293170631,,,,
34,,,,,0.0001051126018865034,0.050999924540519714,0.0013275542296469212,0.0013275542296469212,,,,
35,,,,,9.45326974033378e-05,0.04715453460812569,0.0012261297088116407,0.0012261297088116407,,,,
36,,,,,0.00010564999683992937,0.0494520403444767,0.0012891261139884591,0.0012891261139884591,,,,
37,,,,,9.79702890617773e-05,0.04419560730457306,0.0011538752587512136,0.0011538752587512136,,,,
38,,,,,9.187351679429412e-05,0.04441777616739273,0.0011563812149688601,0.0011563812149688601,,,,
39,,,,,8.906111179385334e-05,0.04258393123745918,0.0011091288179159164,0.0011091288179159164,,,,
40,7.156548235798255e-05,0.076261505484581,0.0019423204939812422,0.0019423204939812422,9.328773739980534e-05,0.04689239338040352,0.0012189537519589067,0.0012189537519589067,97.67051705170516,98.5,3.22259521484375,3.22259521484375
41,,,,,0.00010424336505820975,0.04908810183405876,0.0012793239438906312,0.0012793239438906312,,,,
42,,,,,9.345455328002572e-05,0.04222632199525833,0.001102385576814413,0.001102385576814413,,,,
43,,,,,8.335585880558938e-05,0.0423109196126461,0.0010994509793817997,0.0010994509793817997,,,,
44,,,,,9.725099516799673e-05,0.046246036887168884,0.001204776344820857,0.001204776344820857,,,,
45,,,,,9.341161785414442e-05,0.04064047709107399,0.0010627176379784942,0.0010627176379784942,,,,
46,,,,,8.507302845828235e-05,0.04230855032801628,0.0011002502869814634,0.0011002502869814634,,,,
47,,,,,9.542783664073795e-05,0.04624953120946884,0.001203952357172966,0.001203952357172966,,,,
48,,,,,8.833502215566114e-05,0.04794443026185036,0.0012427782639861107,0.0012427782639861107,,,,
49,,,,,9.259970829589292e-05,0.04986688867211342,0.0012929721269756556,0.0012929721269756556,,,,
50,5.3415737056639045e-05,0.07065974920988083,0.001793201663531363,0.001793201663531363,8.650734525872394e-05,0.04265957325696945,0.0011097430251538754,0.0011097430251538754,97.67326732673267,98.5,3.046588134765625,3.046588134765625
51,,,,,9.183311340166256e-05,0.042292818427085876,0.0011032369220629334,0.0011032369220629334,,,,
52,,,,,9.484728798270226e-05,0.045677874237298965,0.0011893705232068896,0.0011893705232068896,,,,
53,,,,,8.444791455985978e-05,0.03861348330974579,0.001007560989819467,0.001007560989819467,,,,
54,,,,,8.777044422458857e-05,0.0395517461001873,0.001032679108902812,0.001032679108902812,,,,
55,,,,,9.132918785326183e-05,0.03844944387674332,0.0010069007985293865,0.0010069007985293865,,,,
56,,,,,8.505195728503168e-05,0.04128096625208855,0.0010745502077043056,0.0010745502077043056,,,,
57,,,,,8.988376794150099e-05,0.04381100833415985,0.001140217063948512,0.001140217063948512,,,,
58,,,,,8.512553904438391e-05,0.039797380566596985,0.0010374973062425852,0.0010374973062425852,,,,
59,,,,,8.438449003733695e-05,0.040112532675266266,0.0010450055124238133,0.0010450055124238133,,,,
60,6.094690252211876e-05,0.06281985342502594,0.0016009699320420623,0.0016009699320420623,8.965244342107326e-05,0.03904598206281662,0.0010209757601842284,0.0010209757601842284,98.87238723872387,99.0,2.9498880386352537,2.9498880386352537
61,,,,,8.607530617155135e-05,0.04053812474012375,0.0010564910480752587,0.0010564910480752587,,,,
62,,,,,8.315812010550871e-05,0.04232826456427574,0.001099785789847374,0.001099785789847374,,,,
63,,,,,9.273139585275203e-05,0.0391678512096405,0.0010255619417876005,0.0010255619417876005,,,,
64,,,,,0.00010046844545286149,0.04456377029418945,0.0011643285397440195,0.0011643285397440195,,,,
65,,,,,8.450497261947021e-05,0.04120039567351341,0.001072262297384441,0.001072262297384441,,,,
66,,,,,0.00010083091910928488,0.042350973933935165,0.0011091899359598756,0.0011091899359598756,,,,
67,,,,,8.464421989629045e-05,0.04251044988632202,0.0011050833854824305,0.0011050833854824305,,,,
68,,,,,8.56068218126893e-05,0.040540777146816254,0.001056322711519897,0.001056322711519897,,,,
69,,,,,8.463845733786002e-05,0.0390433669090271,0.0010184033308178186,0.0010184033308178186,,,,
70,6.418240809580311e-05,0.07083220779895782,0.001802896149456501,0.001802896149456501,8.63262903294526e-05,0.041740357875823975,0.0010866723023355007,0.0010866723023355007,98.82751433038041,99.0,3.398218536376953,3.398218536376953
71,,,,,8.203732431866229e-05,0.03651608154177666,0.0009539207676425576,0.0009539207676425576,,,,
72,,,,,7.858900062274188e-05,0.03830890357494354,0.000997016904875636,0.000997016904875636,,,,
73,,,,,8.674949640408158e-05,0.04100348800420761,0.0010684619192034006,0.0010684619192034006,,,,
74,,,,,8.498894021613523e-05,0.03603126481175423,0.0009432759834453464,0.0009432759834453464,,,,
