scorer,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080
bodyparts,Nose,Nose,Nose,Left_ear,Left_ear,Left_ear,Right_ear,Right_ear,Right_ear,Front_left_paw,Front_left_paw,Front_left_paw,Front_right_paw,Front_right_paw,Front_right_paw,Body_center,Body_center,Body_center,Tail_start,Tail_start,Tail_start,Tail_end,Tail_end,Tail_end
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,506.90637,898.3426,1.0,478.8548,886.0681,0.8836096,470.4862,916.33356,0.9887579,460.8085,867.6508,1.0,442.52322,913.79456,1.0,425.6838,880.64655,0.99804735,389.47202,847.1364,1.0,376.55823,740.70306,1.0
1,519.04065,900.85114,0.99829674,487.49432,888.70154,0.910761,478.56934,919.7992,0.9551115,469.454,869.0971,0.9092656,454.46832,918.62836,1.0,432.4363,887.6152,1.0,391.0558,857.56903,1.0,377.46432,762.8902,1.0
2,527.6117,902.37537,1.0,498.113,888.18317,0.95673454,489.0683,920.82587,0.966272,478.24564,870.7223,0.9739631,462.20383,920.27704,1.0,438.96863,893.0911,0.98379153,394.9346,868.0049,1.0,367.72736,779.22754,0.9658874
3,538.6193,901.0444,1.0,509.38635,888.74133,0.82256716,499.60422,920.34735,1.0,485.49237,871.27527,0.9042904,474.75333,922.1684,1.0,449.7397,895.47485,0.91021806,405.01642,879.9377,1.0,357.89813,790.46216,1.0
4,548.57367,896.1664,0.9821515,517.1874,888.58527,1.0,513.60706,919.91956,0.97873235,493.75146,870.412,0.8147456,486.02106,924.41986,0.9956167,459.61844,897.35516,0.89797413,413.67932,882.34064,1.0,359.93027,797.50543,1.0
5,558.0953,889.44934,1.0,526.4715,885.96967,0.8937072,525.68616,918.64545,0.96861005,499.36267,873.61774,1.0,494.81638,923.9733,1.0,468.8416,898.41455,1.0,425.78116,882.15674,1.0,356.7515,802.95447,1.0
6,567.381,887.3772,0.99379104,536.6048,886.5858,0.8796727,535.4385,915.6003,1.0,504.08145,874.2403,0.9201547,505.44772,922.0339,0.92203814,479.46518,898.12646,0.93063426,436.32867,882.1189,1.0,356.3352,810.19977,1.0
7,579.03827,887.3706,0.9662432,545.2503,885.1429,0.9712037,545.0637,915.99146,1.0,518.4199,872.6006,1.0,517.17487,922.84894,0.973755,491.09512,895.9329,0.9025952,448.81808,879.5329,1.0,359.36105,820.48785,1.0
8,590.4567,887.58014,0.9989095,557.26556,884.18823,0.9241465,558.4621,914.10986,0.9708817,529.00134,872.5971,1.0,527.9453,921.27924,1.0,502.29156,894.48,0.99130577,459.19727,880.22125,1.0,366.8493,825.86115,1.0
9,602.2701,888.17126,1.0,570.5846,884.62683,0.9238912,572.2808,914.0065,1.0,541.1423,870.4757,0.9119594,539.7792,920.23926,1.0,510.02225,895.94305,0.9509781,469.1987,885.1546,1.0,374.77292,828.6314,1.0
10,613.53516,889.0955,1.0,582.9353,885.0549,0.9371041,583.31604,914.0918,1.0,554.2786,870.1674,0.7447843,552.1458,921.3669,0.92577696,521.9297,896.70166,0.87516004,477.57483,890.66315,1.0,378.7106,842.3006,1.0
11,624.1431,888.3295,0.98066115,592.1446,884.71155,0.9270152,593.0177,914.8899,1.0,565.7376,871.2236,0.80983835,564.86505,921.50757,0.88494635,533.0097,900.17975,0.94324046,488.77432,896.0159,1.0,379.64218,855.62305,1.0
12,624.128,888.33606,0.98056227,592.1658,884.712,0.9280191,593.0238,914.89185,1.0,565.7708,871.2107,0.8125337,564.8893,921.5111,0.88550794,533.0151,900.1674,0.94466555,488.76837,895.9983,1.0,379.65628,855.62695,1.0
13,635.6065,887.5319,1.0,606.1073,883.0161,0.8976682,605.7622,911.66815,0.8181708,581.69653,869.5298,0.9182261,578.0572,920.57996,1.0,547.10156,900.71246,0.9679747,502.04834,898.4374,1.0,1003.864,950.82623,0.43015388
14,657.76794,880.3575,0.981211,625.2829,880.50256,0.9223692,632.07733,910.5548,0.9464363,596.56177,871.2801,0.9727889,597.0142,919.7556,0.9404649,565.86176,897.0894,0.9201853,522.7966,892.5717,1.0,415.01822,847.7398,1.0
15,657.7715,880.3571,0.9809767,625.2684,880.5006,0.9227032,632.0682,910.5472,0.9470149,596.5524,871.3092,0.97367173,597.0888,919.7126,0.9416151,565.85376,897.0461,0.9213791,522.7925,892.578,1.0,414.98215,847.6201,1.0
16,668.93384,880.87134,1.0,637.4041,880.85815,0.931328,641.35815,908.7881,0.9819108,601.36194,872.9242,0.86341345,607.97015,918.3901,0.9490802,576.06744,897.10016,0.9026312,532.81396,889.0386,1.0,422.8864,851.5445,1.0
17,694.9428,879.89056,0.932066,664.8244,878.196,0.91974086,669.94366,906.41364,1.0,631.68536,868.9781,0.93111014,633.3033,915.95496,0.88220876,600.1943,895.88074,0.82422066,561.30054,891.691,0.97683734,441.4511,874.29156,1.0
18,694.9412,879.8813,0.932238,664.8739,878.0993,0.9358923,670.11914,906.4923,1.0,631.62976,868.94525,0.9329789,633.3816,915.9347,0.88342816,600.2274,895.9164,0.8261391,561.2441,891.6893,0.98571897,441.45462,874.28894,1.0
19,706.48846,883.73193,0.9594852,676.4899,879.0055,0.95388347,680.9226,908.9485,1.0,648.31683,865.15173,0.809134,649.5474,916.8593,0.95479524,617.21686,897.1555,0.72940713,572.68964,900.3481,1.0,460.8655,890.2603,0.83612716
20,727.6422,882.23206,0.9820725,699.95624,881.6956,0.9509252,704.6622,911.0273,0.94861305,671.9847,868.88983,0.86442643,674.4133,920.85004,0.91871345,641.67145,901.78613,0.94342023,594.79663,898.6736,1.0,18.576687,746.5047,0.7964221
21,727.6395,882.233,0.98212636,699.9425,881.68604,0.950347,704.67053,911.0267,0.9494332,672.0226,868.8525,0.8655587,674.4116,920.8684,0.91913533,641.6427,901.7926,0.9439484,594.6778,898.6517,1.0,18.578102,746.50476,0.79646087
22,734.0309,876.3975,0.97579193,710.1592,882.78326,0.96436197,712.6118,911.86865,0.9603041,685.4329,868.97424,0.79071313,680.45123,920.07587,0.8462559,648.1569,898.6973,0.83959085,602.9565,897.3629,1.0,15.620909,747.5334,0.44189733
23,752.59985,868.6292,0.98710924,729.30164,875.0881,1.0,735.0084,902.8707,0.9685321,696.3365,867.35266,0.9885015,701.82886,913.88696,0.9158231,663.29535,893.6523,0.84882784,622.47565,883.68146,1.0,15.450477,747.5496,0.36794555
24,752.60114,868.6245,0.9875443,729.3096,875.087,1.0,735.02484,902.8634,0.9680656,696.34094,867.3487,0.9882085,701.83093,913.8862,0.91589963,663.2994,893.6553,0.8488874,622.47723,883.68384,1.0,15.445129,747.5501,0.3647421
25,760.06714,865.5648,0.9789723,736.93445,872.03546,0.9869562,742.39056,898.23145,0.9743347,703.929,864.73627,1.0,706.1765,913.2342,1.0,674.95013,888.8682,0.8783311,632.8876,881.76556,1.0,523.49506,857.1528,1.0
26,782.3595,864.53564,1.0,752.4854,865.8362,0.990755,760.6318,892.7672,1.0,720.6623,859.2159,0.9448455,727.40625,905.4473,0.8254223,692.87,887.5837,0.9680694,654.7219,886.3078,1.0,1003.7221,940.5204,0.5371871
27,782.41797,864.3845,1.0,752.4883,865.85236,0.991503,760.6539,892.7794,1.0,720.50104,859.29553,0.94619566,727.34357,905.4653,0.82689273,692.799,887.5682,0.9700054,654.72485,886.40607,1.0,1003.7237,940.57983,0.53357315
28,792.6107,865.71954,1.0,766.8841,865.68945,0.9741134,772.87415,893.0017,1.0,730.8343,857.1211,0.77858573,739.8797,904.838,0.8926637,706.7315,888.8359,0.79411155,666.7158,894.4959,0.99559313,1003.75024,940.482,0.51906455
29,807.34235,875.55383,1.0,782.8826,869.53455,0.93561405,785.6787,897.53094,0.9884207,751.16284,857.52454,0.86488134,755.78174,909.4688,1.0,721.27686,892.3122,0.9649612,680.18115,896.0102,1.0,1003.5909,939.8018,0.5578731
30,807.3422,875.5574,1.0,782.8857,869.5327,0.9349332,785.6814,897.5314,0.98798054,751.13153,857.4792,0.86396426,755.76385,909.46954,1.0,721.2753,892.2992,0.9644964,680.2764,896.01575,1.0,1003.58954,939.8042,0.55779433
31,810.7559,875.43475,1.0,786.3618,873.1469,1.0,790.4687,900.59235,1.0,764.12427,857.5562,0.87440675,762.3543,912.9314,0.97422695,727.7208,892.5279,0.9424899,684.596,894.39325,1.0,1229.4093,380.53012,0.4256885
32,824.3792,871.9565,0.99363047,795.7244,871.9865,1.0,801.9172,899.194,1.0,769.91376,860.58563,0.8651191,771.7697,914.87463,1.0,737.62494,895.035,1.0,694.14136,894.61633,1.0,592.2132,871.96594,0.9076519
33,824.3774,871.97064,0.99288696,795.89197,872.0524,1.0,802.00323,899.13477,1.0,770.38074,860.3904,0.8906933,771.8575,914.896,0.998886,737.4812,895.0391,1.0,693.83826,894.46423,1.0,591.78735,871.3652,0.9125525
34,830.3145,864.38806,0.9808948,801.282,870.5704,0.788124,808.21375,897.48065,0.98454976,775.943,862.9569,0.94754463,780.2971,913.0982,0.95539874,745.4218,892.8797,1.0,702.0743,894.7547,1.0,596.3338,880.1654,1.0
35,843.9767,856.22577,1.0,815.37787,865.88715,0.8753575,828.36035,892.3061,1.0,784.3285,860.558,1.0,801.41473,909.1913,0.9468874,765.4155,893.52765,1.0,724.1829,896.75696,1.0,615.2163,902.37103,1.0
36,843.953,856.1648,1.0,815.4142,865.8968,0.87563163,828.34644,892.32465,1.0,784.40063,860.54565,1.0,801.3918,909.21277,0.95057184,765.42914,893.5299,1.0,724.13275,896.75024,1.0,615.20996,902.3688,1.0
37,848.4444,856.174,0.99350226,823.5995,865.07324,0.9087773,834.663,891.99744,1.0,792.4745,858.514,1.0,808.7353,909.46106,0.9716152,778.1094,891.94135,1.0,733.4256,895.24677,1.0,623.33057,906.4894,1.0
38,861.98334,858.82336,1.0,823.8547,862.0127,0.6542785,844.36694,889.37524,0.9466622,797.54834,856.9375,0.94500023,813.959,904.4244,0.9247582,777.2598,889.98346,0.9857519,739.3765,895.285,1.0,640.72217,897.77026,1.0
39,861.96204,858.79694,1.0,824.18494,862.221,0.66041434,844.30316,889.0291,0.9481751,797.5909,856.97833,0.94198877,814.03406,904.4145,0.9279639,777.22644,889.98517,0.98650277,739.35583,895.2744,1.0,640.7203,897.7725,1.0
40,865.5147,857.03516,1.0,838.3078,862.37964,0.87779963,845.49493,890.34796,1.0,807.9755,855.9466,0.9080684,818.8357,904.8213,0.953762,780.2401,889.9244,0.95747906,739.5984,894.9244,1.0,630.7835,892.3595,1.0
41,877.13794,860.6191,1.0,846.7572,863.1681,0.9268972,855.16504,890.84784,1.0,817.447,852.972,0.8419579,827.87555,904.73956,0.83761066,787.807,890.9142,0.92645603,745.9222,894.8427,1.0,630.8824,892.4948,1.0
42,877.1389,860.62305,1.0,846.75616,863.15845,0.9261946,855.1661,890.8562,1.0,817.46234,852.9838,0.84234923,827.89166,904.7336,0.8381893,787.814,890.9054,0.92608714,745.9569,894.82874,1.0,630.88934,892.49524,1.0
43,879.67413,857.70325,1.0,848.0444,860.52875,0.8597602,858.824,888.21405,1.0,818.5058,853.63666,0.9940713,831.204,902.6626,1.0,793.52026,890.23145,0.8915704,752.38556,896.63055,1.0,639.1524,897.3188,1.0
44,874.5495,847.3682,1.0,848.9894,859.2901,0.9006906,861.0225,884.3958,1.0,824.395,851.71484,1.0,840.1277,904.01715,1.0,803.84705,890.63556,1.0,760.87036,899.49677,1.0,661.7219,890.1407,1.0
45,874.5398,847.39856,1.0,849.0144,859.28564,0.9003518,861.0164,884.3939,1.0,824.3422,851.7147,1.0,840.10095,904.00775,1.0,803.84875,890.5881,1.0,760.896,899.4548,1.0,661.55817,890.0339,1.0
46,868.0889,842.4549,1.0,849.3329,857.8119,0.8439649,862.62665,883.42395,0.97239834,823.8891,851.748,1.0,840.91284,903.55896,1.0,804.0034,890.93866,1.0,761.1836,898.58496,1.0,662.78265,886.5946,1.0
47,851.5126,832.87494,1.0,838.65186,855.0431,0.81594807,859.58466,870.5121,0.9614145,818.15735,853.2827,1.0,842.7019,899.1848,1.0,805.627,889.8742,1.0,762.82086,897.3,1.0,668.987,884.28204,1.0
48,851.39417,832.89,1.0,838.75165,855.2515,0.8128578,859.6292,870.47656,0.96207005,817.2759,852.2788,1.0,842.66046,899.274,1.0,805.7844,889.69354,1.0,762.801,897.3047,1.0,668.9798,884.333,1.0
49,846.0547,827.26514,1.0,833.8243,854.1624,0.7453532,858.34534,867.45734,1.0,815.612,854.4161,1.0,844.8095,895.5263,1.0,806.1433,888.5214,1.0,764.44617,897.3505,1.0,664.64526,885.32214,1.0
50,842.7734,816.8521,0.96709937,833.3865,842.8852,0.93468136,858.40173,855.2666,0.97815675,811.9551,847.42267,1.0,847.142,885.67883,1.0,809.094,881.76483,1.0,767.645,896.59314,1.0,665.1414,885.31616,1.0
51,842.9493,816.7808,0.9653776,833.5683,842.9722,0.92593306,858.42645,855.19727,0.9772709,813.083,847.4543,1.0,846.3764,884.6881,1.0,808.7852,882.8017,1.0,767.609,896.6555,1.0,665.2012,885.3063,1.0
52,843.608,810.4255,1.0,832.68695,839.29364,0.8773208,859.9465,852.25616,1.0,812.3912,843.4714,1.0,848.23645,881.34973,1.0,810.30536,880.0151,1.0,771.71375,896.6525,1.0,675.4834,884.8019,1.0
53,850.44666,801.6085,1.0,840.7027,831.41205,0.9760881,866.5732,839.6321,1.0,818.06805,832.95435,1.0,858.1965,868.6597,1.0,817.5985,873.7363,1.0,780.23175,895.4726,1.0,684.3851,872.3353,0.97559714
54,850.4499,801.5961,1.0,840.6955,831.4058,0.9765573,866.56146,839.61804,1.0,818.06036,832.9835,1.0,858.1783,868.68665,1.0,817.6139,873.7293,1.0,780.22784,895.4739,1.0,684.42847,872.36646,0.9742491
55,854.78125,801.02216,1.0,842.5001,828.694,0.97983474,869.7276,836.9706,1.0,821.2144,829.4059,1.0,862.26685,864.20844,1.0,824.7463,871.0759,1.0,788.2545,895.8688,1.0,689.7993,874.8688,0.9631553
56,860.3108,795.49097,1.0,847.24915,823.7429,1.0,875.0041,834.48627,1.0,826.64996,830.0317,1.0,869.2382,860.59796,1.0,835.7339,868.96765,1.0,801.4553,891.9306,1.0,696.78156,865.42035,1.0
57,860.30994,795.4965,1.0,847.25775,823.7589,1.0,875.00867,834.4864,1.0,826.609,829.9951,1.0,869.2497,860.58344,1.0,835.78766,868.9248,1.0,801.4567,891.9995,1.0,696.77026,865.40594,1.0
58,858.6503,792.7527,1.0,847.6928,821.9445,1.0,875.841,833.0333,1.0,825.6004,829.99835,1.0,869.5905,859.00104,1.0,836.9321,868.64514,1.0,801.772,891.23065,1.0,696.7322,865.36487,1.0
59,849.3744,792.66724,1.0,842.1868,821.54297,1.0,871.25885,829.09845,0.9853585,822.7702,832.3283,1.0,868.9758,854.936,1.0,836.4127,867.3132,1.0,804.02313,891.64966,1.0,716.8644,895.929,1.0
60,849.1925,792.6091,1.0,842.0323,821.5876,1.0,871.2299,829.08057,0.9866928,822.77325,832.48676,1.0,868.9834,854.8641,1.0,836.4253,867.34344,1.0,804.0077,891.69073,1.0,716.4854,896.666,1.0
61,844.25244,791.4207,1.0,840.2986,824.76666,1.0,870.81604,830.30676,1.0,822.69073,834.09467,1.0,868.2159,854.1553,1.0,835.07806,867.32465,1.0,804.8678,892.4338,1.0,715.26447,897.8348,1.0
62,835.1208,796.5034,1.0,833.20575,826.0442,1.0,863.7869,828.0365,1.0,817.7395,837.3079,1.0,863.6782,851.47955,1.0,832.98627,868.14435,1.0,805.04535,892.083,1.0,715.3386,898.2055,1.0
63,835.1102,796.5129,1.0,833.3052,826.0849,1.0,863.8524,828.06085,1.0,817.78687,837.3271,1.0,863.9513,851.6094,1.0,833.09644,868.1177,1.0,805.0458,892.08624,1.0,715.33167,898.1695,1.0
64,830.5133,797.9812,0.96974033,831.75616,824.6826,1.0,858.16095,826.0435,1.0,815.29083,838.68097,1.0,862.2795,849.6706,1.0,831.5533,868.4246,1.0,804.1123,892.01654,1.0,713.5298,898.21,1.0
65,821.7956,798.861,1.0,826.9894,828.89453,1.0,855.067,826.1562,1.0,812.36774,840.84924,0.9356211,859.0962,848.3465,1.0,831.0339,867.53735,1.0,809.4094,890.74084,1.0,709.6381,900.5061,1.0
66,821.7883,798.8534,1.0,826.98444,828.89594,1.0,855.06433,826.1512,1.0,812.3507,840.82837,0.93611646,859.0868,848.3375,1.0,831.02747,867.53094,1.0,809.40857,890.73645,1.0,709.65485,900.54724,1.0
67,821.10614,796.34955,1.0,823.87665,826.98285,1.0,852.10986,823.5408,1.0,810.5914,841.31354,0.9286084,858.50165,848.3935,1.0,831.7578,867.051,1.0,810.06494,890.6323,1.0,709.71857,903.127,1.0
68,819.9333,791.78973,1.0,821.59875,823.3626,1.0,850.7862,819.7439,1.0,811.77185,842.00964,0.94840604,858.6546,843.41125,1.0,836.28674,863.8945,1.0,816.82446,888.42163,1.0,719.6068,914.44434,1.0
69,819.93176,791.7898,1.0,821.59863,823.359,1.0,850.78516,819.742,1.0,811.7702,842.00464,0.94839007,858.65497,843.40564,1.0,836.2902,863.89874,1.0,816.8227,888.42084,1.0,719.60345,914.424,1.0
70,822.2703,790.4442,1.0,822.40314,821.96967,1.0,850.7291,817.80493,1.0,813.9772,840.8946,0.9849226,861.3143,840.2758,1.0,840.8269,862.51514,1.0,822.4297,888.174,1.0,728.0857,914.1381,1.0
71,824.75604,784.4969,0.96698225,823.7654,817.07697,1.0,851.63873,813.83075,1.0,813.9074,834.1861,1.0,860.9341,835.9282,1.0,841.82874,857.62616,1.0,825.2116,886.3613,1.0,720.28296,899.71533,1.0
72,824.7456,784.4823,0.9685054,823.7649,817.09686,1.0,851.64844,813.8366,1.0,813.8651,834.22894,1.0,860.95667,835.98126,1.0,841.7838,857.68774,1.0,825.19324,886.3276,1.0,720.2206,899.7062,1.0
73,826.07904,781.80115,1.0,825.8597,814.4837,1.0,854.0663,812.8842,1.0,814.43744,831.24194,1.0,861.26337,834.40564,1.0,840.6405,856.1416,1.0,825.785,885.65594,1.0,713.27826,893.9264,1.0
