"","Nose_x","Nose_y","Nose_p","Ear_left_x","Ear_left_y","Ear_left_p","Ear_right_x","Ear_right_y","Ear_right_p","Lat_left_x","Lat_left_y","Lat_left_p","Lat_right_x","Lat_right_y","Lat_right_p","Center_x","Center_y","Center_p","Tail_base_x","Tail_base_y","Tail_base_p","Tail_end_x","Tail_end_y","Tail_end_p"
"0",389.1416,896.4179,1,416.98215,891.78784,1,400.44464,874.601,1,443.36786,884.89056,1,412.10852,853.29126,1,449.19382,849.02734,0.90090543,481.30347,814.8216,1,537.9428,710.9035,1
"1",385.53525,896.8521,0.9906176,412.87317,893.65,1,397.0661,874.87024,1,438.66623,887.38385,1,411.35223,853.467,1,448.44376,851.82416,0.91839594,482.44675,818.55237,1,537.4767,712.2179,1
"2",381.46793,895.47705,0.95904005,409.16165,895.16486,1,395.494,874.70636,1,435.35202,889.6821,1,411.92886,854.3202,1,448.27768,854.19135,0.93039244,483.82108,819.8434,1,536.78973,711.89514,1
"3",377.54465,897.3014,1,405.59924,897.16614,1,392.58392,875.8912,1,432.45502,892.9032,1,411.37082,855.24164,1,448.0078,855.85754,0.9065966,483.137,823.352,1,535.6333,710.97095,1
"4",373.55652,900.25995,1,399.9406,900.386,1,387.51364,879.29443,1,427.27838,897.4484,0.9425741,409.95456,857.7486,1,446.528,858.81335,0.9398143,479.77655,826.8362,1,528.8448,715.4564,1
"5",368.0021,901.52905,0.99675524,395.93134,904.25977,1,384.38766,882.81415,1,423.29068,897.31836,0.9131931,406.49506,860.2363,1,443.6843,861.83466,0.92680776,478.64813,831.5848,1,527.7056,721.4053,1
"6",364.36633,899.1444,1,390.94376,905.58923,1,380.89362,882.34357,1,419.6593,898.33386,0.9579928,403.64514,860.9676,1,440.98483,864.22705,0.9227165,476.94623,838.73987,1,537.77234,738.8696,0.9599245
"7",360.4431,895.34174,1,387.8121,905.08264,1,378.34842,879.2331,1,413.88428,899.94684,0.9457521,400.87027,859.7235,1,438.5449,865.3113,0.9167935,473.9917,842.79803,1,542.3615,750.05853,0.964683
"8",355.70685,895.0313,0.9659054,379.8293,905.84296,1,373.48947,879.4342,1,408.9088,900.81793,0.97844,397.95062,858.18054,0.9387871,432.15662,868.1094,0.92679423,472.4583,847.60986,1,549.4559,760.2388,1
"9",350.6224,894.4916,0.95677614,375.43454,907.4291,1,367.81573,880.7351,1,404.44067,902.5561,0.947092,393.8933,859.7089,0.97555625,427.98114,871.1905,0.90053827,468.18488,853.6276,1,549.27277,767.1768,1
"10",344.2649,895.2267,0.9943491,371.37207,907.99854,1,364.07632,882.5411,1,397.34872,906.37225,0.9609559,390.03397,861.7335,1,423.56125,875.1131,0.9137048,464.06833,857.97406,1,549.18896,774.4851,1
"11",338.8489,893.1777,1,365.39105,910.19116,1,361.26367,881.92004,1,391.1891,909.93414,0.97900575,386.9729,864.2587,1,420.62778,880.6681,1,461.82147,864.8682,1,547.2906,782.1085,1
"12",331.99817,898.28406,0.98569643,359.63412,910.91376,1,353.45547,885.8125,1,387.23608,914.0049,0.9986033,381.03967,866.31445,1,414.88354,884.84235,0.9485719,456.91534,872.6676,1,543.32294,791.54224,1
"13",327.6371,898.07245,0.9952367,355.59003,911.70044,1,351.4,885.61536,1,384.75836,915.5761,0.8924354,378.40228,867.01904,0.98433316,411.51813,889.484,0.8962939,453.05127,876.2373,1,543.5475,794.5806,1
"14",322.85385,899.4011,1,352.0782,911.40967,1,346.34845,884.5444,1,380.9474,916.0351,0.95530635,378.11282,867.34674,1,407.32272,891.557,0.8975811,451.48172,877.39343,1,539.89703,794.1534,1
"15",320.07266,901.1511,1,348.9968,910.5851,1,343.67587,884.4891,1,377.5032,913.8318,0.9619055,373.45422,867.55115,1,403.10373,890.5451,0.8453683,448.01028,875.69794,1,539.4671,793.7907,1
"16",319.77698,902.54047,1,348.44684,909.6354,1,342.25156,884.36487,1,374.28754,912.5478,1,370.11273,866.4351,1,401.1041,887.87585,0.9431997,447.28903,872.69763,1,537.97894,792.6624,1
"17",320.95615,907.186,1,349.71075,909.3782,1,342.63596,885.4984,1,375.09314,911.35596,1,370.07257,866.53265,1,402.42172,886.7038,0.98840827,447.62708,871.82587,1,538.73315,792.6114,1
"18",322.1017,911.9427,1,349.9937,910.67957,1,341.9857,886.65424,1,374.89423,911.80426,1,369.8662,867.2454,1,402.2695,887.9501,0.9716872,447.61392,872.83997,1,539.48425,796.1977,1
"19",320.48364,915.868,1,349.52322,912.43195,1,339.9888,889.0039,1,372.98828,913.2594,1,367.93372,867.97894,1,400.65643,889.67303,0.8947548,446.98364,874.8038,1,540.04224,805.75885,1
"20",319.28458,918.2805,1,348.3029,912.1939,1,337.45953,889.28143,1,371.90756,913.5293,0.996401,365.3994,869.57104,1,399.0578,890.00134,0.8848731,445.5976,876.1403,1,542.77576,810.2272,1
"21",317.0281,920.62573,1,346.4495,913.33514,1,335.97574,890.50757,1,371.07074,913.7575,0.972812,363.3425,870.52686,1,397.7498,889.87,0.9193503,443.565,876.7087,1,542.36096,812.43274,1
"22",317.70294,923.36725,0.9922415,345.3361,914.88763,1,333.08936,892.3524,1,369.8346,913.18494,0.98744684,359.83682,871.91077,0.9981414,395.451,890.3813,0.92066246,440.73846,877.1814,1,542.472,813.38513,1
"23",312.45914,922.5141,0.97061074,343.59436,915.3355,1,331.8163,892.40375,1,368.78778,913.42737,0.9963743,360.61145,870.58875,1,394.30203,889.7926,0.88833666,438.82642,877.479,1,541.5436,813.2894,1
"24",306.6284,924.2687,1,341.43842,916.8717,1,330.30222,891.7909,1,367.0487,914.0299,0.9644764,358.40225,870.8995,1,391.93628,889.40436,0.8383475,436.58786,878.09534,1,537.48944,815.65137,1
"25",302.7594,927.8318,0.8144175,339.84528,916.45636,1,328.0089,890.5119,1,364.93988,914.1246,0.9331357,356.15933,870.8694,1,391.3215,889.1072,0.9168749,434.9554,880.0401,1,535.1341,819.7083,1
"26",303.37778,927.572,0.83553946,336.29706,916.0596,1,324.2117,891.6706,1,361.62415,914.3416,0.96786404,350.71115,869.53973,0.9711379,388.91464,887.8077,1,432.88126,881.4095,1,535.0787,828.6825,1
"27",301.5756,925.6519,0.9305315,334.41467,913.8029,1,321.7769,891.79114,1,359.95663,911.8729,0.9839412,348.77423,868.4637,0.99875647,386.12924,886.4421,0.9969798,429.68262,881.8922,1,535.43787,830.9958,1
"28",298.3947,924.4626,0.9009364,331.50616,911.7926,1,316.3526,891.3987,1,357.67764,909.07855,1,343.8672,867.3506,1,382.1444,883.83716,1,425.52197,882.0394,1,536.88086,832.12854,1
"29",294.8546,922.895,0.9043541,328.29358,910.3313,1,313.17444,889.1042,1,353.36044,909.6662,1,342.2696,866.0847,1,376.14136,882.81305,0.9723974,419.96445,885.5807,1,529.7009,834.62103,1
"30",292.80685,920.55634,0.94359446,325.35898,908.965,1,311.0158,887.87286,1,351.0876,909.542,0.9429001,339.54962,864.6396,0.9695717,375.81183,883.96375,1,417.38034,888.22845,1,495.76077,863.98846,0.9361312
"31",292.96475,915.8888,0.879743,324.0258,908.1711,1,310.7644,885.1803,1,351.26486,909.29736,0.96697015,340.47568,864.7417,0.9356413,376.02277,885.26385,0.99291116,415.9643,892.4149,1,278.71405,943.2395,0.9923406
"32",295.33377,911.2912,0.8953256,326.90845,905.7514,1,312.78433,885.1422,1,352.82794,911.32135,1,342.07126,863.47034,0.9892247,375.6001,887.2192,0.9416784,416.52853,894.3487,1,535.3979,874.6211,1
"33",293.01828,908.9787,0.9509609,326.8344,906.8592,1,313.22787,885.2342,1,352.4407,912.78357,0.97790855,344.33954,864.89557,1,374.41785,888.6439,0.9204864,416.50656,894.4695,1,535.4225,873.9958,1
"34",292.90073,909.1323,0.9485016,326.36136,908.07153,1,313.78693,885.6527,1,352.3167,914.2037,0.9308105,345.95236,865.43365,1,373.7328,890.24854,0.949942,416.5545,894.3782,1,535.96814,872.07794,1
"35",292.55444,909.0813,0.9778861,326.46707,910.4512,1,316.10672,885.32434,1,352.95187,914.25134,0.92154455,346.884,866.09064,1,374.44812,890.10803,0.9911751,416.37827,893.6325,1,537.5828,867.01154,1
"36",295.6719,902.83905,0.9833244,324.95023,912.7526,1,318.16397,886.8245,1,352.66974,916.7038,0.9821113,344.51022,867.5296,1,374.7076,891.6499,0.9678377,417.0625,892.9861,1,536.4373,863.0409,1
"37",296.89377,896.54114,0.9732468,325.2739,912.44165,1,318.8601,884.7659,1,352.21738,916.8408,0.9759905,345.78513,867.2288,1,375.17325,891.81635,0.99232304,416.86343,892.37354,1,531.83,862.621,1
"38",296.46964,895.1579,0.9312757,325.17126,911.88226,1,319.05502,883.8732,1,351.4455,916.5094,0.9720294,346.92285,867.26465,1,375.0793,892.3625,0.9969926,416.07642,893.0164,1,531.1908,862.6484,1
"39",295.46573,895.1525,0.96462274,324.9328,911.01117,1,318.98965,883.35724,1,350.69293,917.4393,0.96165663,347.07416,867.2998,1,373.91623,893.2578,0.9797716,416.12885,894.7328,1,530.43097,863.83777,1
"40",294.3136,893.8265,0.961114,317.6557,910.1333,1,315.4775,882.2662,1,345.04852,916.5443,0.9459143,345.77936,866.3313,1,372.77353,893.51416,0.97881263,416.2024,895.51337,1,531.72125,870.14294,1
"41",294.92322,893.45013,0.96350676,317.6381,908.6902,1,315.4916,881.09216,1,345.11963,915.58136,0.93832356,347.1261,865.88837,0.9700138,373.63608,893.77704,0.9833015,414.90393,895.9447,1,532.04535,869.7948,1
"42",295.87878,891.8259,0.9401485,317.906,906.9303,1,315.90277,879.3996,1,345.36554,914.40137,0.92974764,346.34473,866.11926,0.99820864,374.24124,893.9914,0.98314214,414.92865,895.7368,1,531.9117,870.0349,1
"43",295.45786,891.98846,0.9366926,317.88812,906.9687,1,315.3726,879.4449,1,345.2903,914.44104,0.92743504,346.44717,866.19257,0.9913759,374.33163,893.974,0.97892946,414.9024,895.6811,1,532.06195,869.66345,1
"44",293.51035,887.5387,0.9616297,315.66977,905.4191,1,316.09232,877.2476,1,344.37076,914.6034,0.9033316,347.5852,866.00305,0.9438292,372.4679,895.14954,0.9939406,415.40897,895.7201,1,533.2561,871.66187,1
"45",294.48157,884.7067,0.9905077,314.31052,904.6675,0.98747414,316.46472,876.5554,1,345.1983,916.2855,0.9214862,346.93314,867.5801,0.9664439,373.13376,895.70593,0.96100837,414.86456,896.29333,1,533.5712,872.4121,1
"46",293.32742,880.59143,0.9362622,311.49985,905.0565,0.9177271,316.96198,876.4257,1,343.8902,918.2508,0.9100464,346.77527,869.89044,0.9700161,373.3142,897.0084,0.9500683,414.1636,897.05664,1,533.42444,871.7462,1
"47",293.13058,878.03894,0.92140424,311.40204,906.69604,1,317.03302,877.14496,1,342.03568,919.33856,0.88400596,347.77026,871.9584,0.95299065,374.12326,898.43536,0.93173337,413.59326,897.3408,1,534.34375,869.6567,1
"48",292.11417,873.9898,0.9455778,305.95126,908.31134,1,313.7642,878.173,1,338.2244,921.7948,0.92098486,344.86496,873.7097,0.89438725,367.51923,899.5021,0.96168214,408.2867,895.9649,1,522.84357,871.9859,1
"49",291.43253,872.301,0.92359304,302.19675,906.55756,1,310.87772,877.8817,1,337.1125,923.87177,0.95651513,341.22394,875.6786,0.9469451,364.2679,902.0258,1,403.96823,896.95276,1,509.60092,867.37195,1
"50",289.43234,868.9854,0.9559918,299.30673,904.6239,1,310.65674,876.9362,1,335.3762,923.685,0.9836699,337.69043,874.8753,0.9387127,361.076,899.49976,0.9859462,400.3532,893.4501,1,510.51727,863.0798,1
"51",288.64243,870.5982,0.9389012,300.12076,902.79285,0.9915524,312.95792,871.76245,1,336.65955,920.9289,0.9098368,340.72684,873.8775,0.8459994,359.45197,896.4725,0.9154047,401.5927,891.10876,1,517.5704,847.36316,1
"52",295.3892,865.23615,0.8616177,303.84372,902.0631,0.9804091,319.50986,870.5007,0.99830335,335.93356,919.40045,0.84771425,344.5574,875.0801,0.63889956,357.68893,898.5409,0.5700211,403.8617,889.6668,0.52309334,510.29205,849.2295,1
"53",301.53754,863.70337,0.85887957,307.5497,901.2135,1,322.139,872.04816,0.94469994,338.37668,920.4307,0.8938425,348.68057,875.3916,0.77983713,363.8896,899.2857,0.85700864,404.1737,890.39874,0.908127,511.50452,850.04913,1
"54",305.66342,860.10944,0.95117164,309.62518,899.34314,1,329.5252,872.2054,0.9531903,340.28888,920.83966,0.94698614,353.72595,876.3416,0.82091236,367.03745,901.0642,0.89138466,405.6667,891.3347,1,511.54913,850.6138,1
"55",311.25647,857.5324,0.89658403,310.51276,898.02277,0.99688405,332.14194,872.35095,1,343.00546,922.69586,0.97597,356.08484,874.56903,0.8398497,367.6206,901.3893,0.84245133,407.29248,891.4724,1,517.46204,843.12256,1
"56",315.27524,853.779,0.92122215,312.2455,897.2175,1,333.36826,870.1247,1,342.81955,922.5281,0.9834051,358.37894,874.4821,0.8753751,368.23468,901.16693,0.8565813,407.2927,890.4587,1,517.6011,843.1024,1
"57",316.1596,851.9524,0.95175624,312.19458,896.6304,0.99763703,334.0882,870.9472,1,342.33362,923.04376,0.96998554,359.35547,874.2556,0.8667306,367.7495,901.1865,0.81089664,407.42636,890.4132,1,517.5139,842.92566,1
"58",317.4981,851.3632,0.9213989,312.49307,891.053,1,335.0735,870.5679,1,337.7312,921.4699,0.87433153,359.8101,872.3189,0.944118,366.69916,900.7869,0.87397504,407.00366,891.11395,1,517.57477,845.81744,1
"59",316.39136,848.8528,0.91779983,311.5614,890.6792,1,335.1033,870.97473,1,337.33084,920.9997,0.83809566,359.61145,873.05945,0.9319915,367.16217,900.7752,0.8443846,407.17645,890.9851,1,515.8244,847.8357,1
"60",315.26147,848.05023,0.9595801,310.39145,889.728,1,333.53757,871.355,1,334.7625,919.2683,0.81955934,358.22464,873.30975,0.92899764,365.13953,900.33856,0.810213,405.0728,891.5441,1,515.6519,848.0143,1
"61",314.0626,846.40393,0.99302375,308.22736,888.8774,1,333.08682,870.0778,1,332.78702,919.067,0.8286266,357.6516,870.7572,0.923511,360.68594,899.31885,0.7763584,403.71335,891.27264,1,516.8697,844.8107,1
"62",313.8305,845.1244,1,302.5542,886.548,1,332.06348,866.261,1,327.85553,916.0857,0.85645807,355.37326,870.3685,0.8965003,359.4563,898.4612,0.8192855,401.3031,891.97943,1,516.5593,843.53864,1
"63",313.36197,840.8506,0.88279575,301.75217,883.4191,1,331.0471,864.1439,1,327.74615,915.2775,0.90810794,353.13892,868.4415,0.87815803,359.05484,898.3121,0.90370363,399.4792,895.6499,1,509.51376,849.2594,0.83766913
"64",312.7407,838.2843,0.9098015,300.60657,881.10504,1,327.8394,861.3788,1,324.69516,912.6805,0.9073966,351.66083,868.23676,0.86426866,358.03436,900.2264,0.9659454,396.0004,900.80536,1,1216.4243,873.8605,0.09764977
"65",309.4348,839.03094,0.9461361,299.97263,878.22455,1,325.97675,859.19806,1,319.23972,909.1975,0.8873587,348.606,865.4545,0.9609344,351.12265,899.4021,0.9924437,389.59827,906.437,1,478.55518,912.06793,1
"66",306.64728,838.7809,0.90679425,298.6701,878.2927,1,323.42953,860.22906,1,315.88043,908.90106,0.9536815,346.86044,864.4315,0.94279855,347.3448,896.81335,0.9708994,385.39795,907.0269,1,502.03384,914.5521,1
"67",306.16867,838.27893,0.9282722,298.09714,878.28705,1,321.82104,859.9569,1,315.4495,909.17755,0.9585767,345.5914,864.1707,0.93357706,346.06668,896.3767,0.95753974,383.95697,906.9393,1,502.6674,908.08734,1
"68",304.92126,838.0587,0.9551265,299.26126,878.9701,1,322.9652,860.19025,1,315.57397,908.6725,0.9924053,347.29892,862.8076,0.98767716,348.11975,895.6378,0.9719618,384.46826,906.66174,1,506.1444,904.431,1
"69",305.8732,835.9567,0.9802774,299.90906,877.3878,1,323.63647,859.77106,1,316.6087,908.0479,0.9883148,347.48697,862.8719,0.98028374,349.80847,896.0347,0.9261144,384.30896,907.3821,1,506.1506,904.11774,1
"70",308.11383,836.5164,1,299.76337,877.5936,1,324.35617,859.86847,1,316.26593,907.0094,0.9904279,347.26544,863.0352,0.9520628,348.74182,895.38214,0.94732565,383.95758,907.5092,1,506.09155,904.0852,1
