,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
51,fixed_J1-564,Animal_1,Center,bottom_right_corner,245.73333333333332,248.26666666666668,7372,7447,2.533333333333333
52,fixed_J1-564,Animal_1,Center,bottom_right_corner,248.3,249.66666666666666,7449,7489,1.3666666666666667
53,fixed_J1-564,Animal_1,Center,bottom_right_corner,259.23333333333335,259.46666666666664,7777,7783,0.23333333333333334
54,fixed_J1-564,Animal_1,Center,bottom_right_corner,445.96666666666664,451.6333333333333,13379,13548,5.666666666666667
55,fixed_J1-564,Animal_1,Center,bottom_left_corner,57.03333333333333,63.63333333333333,1711,1908,6.6
56,fixed_J1-564,Animal_1,Center,bottom_left_corner,234.9,244.2,7047,7325,9.3
57,fixed_J1-564,Animal_1,Center,bottom_left_corner,244.23333333333332,244.3,7327,7328,0.06666666666666667
58,fixed_J1-564,Animal_1,Center,bottom_left_corner,244.56666666666666,244.93333333333334,7337,7347,0.36666666666666664
59,fixed_J1-564,Animal_1,Center,bottom_left_corner,269.76666666666665,289.2,8093,8675,19.433333333333334
60,fixed_J1-564,Animal_1,Center,bottom_left_corner,294.9,295.2,8847,8855,0.3
61,fixed_J1-564,Animal_1,Center,bottom_left_corner,295.3,353.5,8859,10604,58.2
62,fixed_J1-564,Animal_1,Center,bottom_left_corner,440.93333333333334,444.1,13228,13322,3.1666666666666665
63,fixed_J1-564,Animal_1,Center,bottom_left_corner,491.76666666666665,505.3,14753,15158,13.533333333333333
64,fixed_J1-564,Animal_1,Center,top_left_corner,47.93333333333333,54.96666666666667,1438,1648,7.033333333333333
65,fixed_J1-564,Animal_1,Center,top_left_corner,55.03333333333333,55.13333333333333,1651,1653,0.1
66,fixed_J1-564,Animal_1,Center,top_left_corner,74.83333333333333,233.93333333333334,2245,7017,159.1
67,fixed_J1-564,Animal_1,Center,top_left_corner,358.1333333333333,358.7,10744,10760,0.5666666666666667
